PACKAGES,DESCRIPTION
neovim,text editor
git,git
acpi,battery info
tlp,TLP powermanagement
pulseaudio pulseaudio-alsa,audio system
pulseaudio-bluetooth,bluetooth support for audio system
pulsemixer,audio mixer for pulseaudio
bluez bluez-utils,bluetooth controller
ranger,file manager
cmus,mp3 player
unzip,extract zip
unrar,extract rar
youtube-dl,youtube downloader
dosfstools,FAT file system support
ntfs-3g,NTFS file system support
exfat-utils,EXFAT file system support
xorg-server,X server
xorg-xinit,starter for X server
xorg-xbacklight,brightness
xf86-video-intel xf86-video-amdgpu,graphic driver
mesa,opengl support
noto-fonts noto-fonts-cjk noto-fonts-emoji noto-fonts-extra,google noto font
i3-wm,window manager
i3blocks,status bar
i3lock,screen locker
dmenu,application launcher
kitty,terminal emulator
chromium,web browser
arandr,multidisplay manager
libreoffice-fresh,office
zathura zathura-pdf-mupdf,pdf reader
sxiv,image viewer
imagemagick,simple image manipulation tools
inkscape,vector based image editor
gimp,bitmap based image editor
maim,screenshot tools
xdotool,X automation tool
ffmpeg,multimedia tool for video and audio
mpv,video player
xclip,clipboard
xwallpaper,wallpaper setter
virtualbox virtualbox-host-modules-arch virtualbox-guest-iso,virtual machine
htop,system monitor
neofetch,system info
man-db,manual page
